"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Dec 02 08:29:17 GMT 2023","Sat Dec 02 08:29:19 GMT 2023","2049","webkit","specs/e2e.spec.js","Top menu links","","","should open the corresponding pages after clicking on them",""
"passed","Sat Dec 02 08:28:03 GMT 2023","Sat Dec 02 08:28:06 GMT 2023","3025","chromium","specs/e2e.spec.js","Main page","","","should open the results page with items containing the searched word",""
"passed","Sat Dec 02 08:28:15 GMT 2023","Sat Dec 02 08:28:21 GMT 2023","5965","chromium","specs/e2e.spec.js","Top menu links","","","should open the corresponding pages after clicking on them",""
"passed","Sat Dec 02 08:28:06 GMT 2023","Sat Dec 02 08:28:09 GMT 2023","3160","chromium","specs/e2e.spec.js","Issues page","","","should show page number in the URL after clicking on the pagination",""
"failed","Sat Dec 02 08:28:55 GMT 2023","Sat Dec 02 08:28:57 GMT 2023","2029","webkit","specs/e2e.spec.js","Main page","","","should open the results page with items containing the searched word",""
"passed","Sat Dec 02 08:28:32 GMT 2023","Sat Dec 02 08:28:37 GMT 2023","5087","firefox","specs/e2e.spec.js","Registration page","","","should allow a user to register",""
"passed","Sat Dec 02 08:28:21 GMT 2023","Sat Dec 02 08:28:26 GMT 2023","5419","firefox","specs/e2e.spec.js","Main page","","","should open online shop page after clicking on the book image",""
"failed","Sat Dec 02 08:29:10 GMT 2023","Sat Dec 02 08:29:12 GMT 2023","2057","webkit","specs/e2e.spec.js","Registration page","","","should allow a user to register",""
"passed","Sat Dec 02 08:28:29 GMT 2023","Sat Dec 02 08:28:32 GMT 2023","2986","firefox","specs/e2e.spec.js","Issues page","","","should show page number in the URL after clicking on the pagination",""
"failed","Sat Dec 02 08:28:48 GMT 2023","Sat Dec 02 08:28:50 GMT 2023","2048","webkit","specs/e2e.spec.js","Main page","","","should open online shop page after clicking on the book image",""
"failed","Sat Dec 02 08:29:02 GMT 2023","Sat Dec 02 08:29:04 GMT 2023","2045","webkit","specs/e2e.spec.js","Issues page","","","should show page number in the URL after clicking on the pagination",""
"passed","Sat Dec 02 08:28:09 GMT 2023","Sat Dec 02 08:28:15 GMT 2023","5822","chromium","specs/e2e.spec.js","Registration page","","","should allow a user to register",""
"passed","Sat Dec 02 08:27:58 GMT 2023","Sat Dec 02 08:28:03 GMT 2023","4436","chromium","specs/e2e.spec.js","Main page","","","should open online shop page after clicking on the book image",""
"passed","Sat Dec 02 08:28:37 GMT 2023","Sat Dec 02 08:28:41 GMT 2023","3696","firefox","specs/e2e.spec.js","Top menu links","","","should open the corresponding pages after clicking on them",""
"passed","Sat Dec 02 08:28:26 GMT 2023","Sat Dec 02 08:28:29 GMT 2023","2664","firefox","specs/e2e.spec.js","Main page","","","should open the results page with items containing the searched word",""
