"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Counter","","","should display the current number of todo items",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","2","chromium","demo-todo-app.spec.js","Editing","","","should hide other controls when editing",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Editing","","","should cancel edits on escape",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Routing","","","should respect the back button",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Clear completed button","","","should display the correct text",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Editing","","","should remove the item if an empty text string was entered",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Item","","","should allow me to edit an item",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Persistence","","","should persist its data",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Editing","","","should trim entered text",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","2","chromium","demo-todo-app.spec.js","Clear completed button","","","should remove completed items when clicked",""
"passed","Mon Oct 02 04:03:26 GMT 2023","Mon Oct 02 04:03:38 GMT 2023","12607","chromium","specs\e2e.spec.js","Registration page","","","should allow a user to register",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Item","","","should allow me to mark items as complete",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Editing","","","should save edits on blur",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","New Todo","","","should clear text input field when an item is added",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Mon Oct 02 04:03:26 GMT 2023","Mon Oct 02 04:03:39 GMT 2023","12783","chromium","specs\e2e.spec.js","Issues page","","","should show page number in the URL after clicking on the pagination",""
"failed","Mon Oct 02 04:03:26 GMT 2023","Mon Oct 02 04:03:46 GMT 2023","20503","chromium","specs\e2e.spec.js","Main page","","","should redirect the browser after clicking on the book image",""
"passed","Mon Oct 02 04:03:26 GMT 2023","Mon Oct 02 04:03:36 GMT 2023","10796","chromium","specs\e2e.spec.js","Main page","","","should open the results page with the searched word",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Item","","","should allow me to un-mark items as complete",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","New Todo","","","should allow me to add todo items",""
"skipped","Mon Oct 02 04:03:38 GMT 2023","Mon Oct 02 04:03:38 GMT 2023","1","chromium","specs\test.spec.js","Test suite","","","random test",""
"passed","Mon Oct 02 04:03:37 GMT 2023","Mon Oct 02 04:03:42 GMT 2023","5139","chromium","specs\e2e.spec.js","Top menu links","","","should open to the correspong pages",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Clear completed button","","","should be hidden when there are no items that are completed",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","2","chromium","demo-todo-app.spec.js","Mark all as completed","","","should allow me to clear the complete state of all items",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Routing","","","should allow me to display active items",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Routing","","","should allow me to display all items",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Routing","","","should allow me to display completed items",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","1","chromium","demo-todo-app.spec.js","Routing","","","should highlight the currently applied filter",""
"skipped","Mon Oct 02 04:03:24 GMT 2023","Mon Oct 02 04:03:24 GMT 2023","2","chromium","demo-todo-app.spec.js","New Todo","","","should append new items to the bottom of the list",""
